evidence_type,column_name,evidence_value,inference,severity,ml_impact,recommended_action
risk_column,name,possible_pii,review before ML,high,high,exclude or clear by user
risk_column,age,possible_sensitive,review before ML,high,high,exclude or clear by user
risk_column,gender,possible_sensitive,review before ML,high,high,exclude or clear by user
target_candidate,medical_condition,name/shape suggests target,possible supervised ML,medium,medium,confirm target
risk_column,test_results,possible_target_or_leakage,review before ML,high,high,exclude or clear by user
target_candidate,test_results,name/shape suggests target,possible supervised ML,medium,medium,confirm target
